,Olympiad_Participation,Scholarship,School,Fav_sub,Projects,Grasp_pow,Time_sprt,Medals,Career_sprt,Act_sprt,Fant_arts,Won_arts,Time_art,Predicted_Hobby
103,1,1,1,2,1,5,2,0,0,0,1,0,3,0
104,1,1,1,3,1,3,2,0,0,0,0,1,2,0
105,1,1,1,3,1,5,5,1,0,0,1,1,2,0
106,1,1,1,2,1,5,3,1,0,0,1,1,3,0
107,1,1,1,3,1,5,2,0,0,0,1,1,1,0
108,1,1,1,2,1,3,3,0,0,0,1,0,1,0
109,1,1,1,3,1,3,2,0,0,0,1,1,1,0
110,1,1,1,3,1,5,1,1,0,0,0,1,1,0
111,1,1,1,3,1,5,1,1,0,0,1,0,1,0
112,1,1,1,3,1,5,3,1,0,0,1,0,1,0
113,1,1,1,2,1,5,2,0,0,0,1,0,1,0
114,1,1,1,3,1,3,5,1,0,0,0,0,1,0
115,1,1,1,2,1,5,2,0,0,0,1,0,2,0
116,1,1,1,3,1,3,2,1,0,0,0,1,1,0
117,1,1,1,3,1,5,5,1,0,0,1,1,2,0
118,1,1,1,3,1,5,2,1,0,0,0,1,1,0
119,1,1,1,2,1,5,4,1,0,0,1,0,1,0
120,1,1,1,3,1,5,3,1,0,0,1,1,1,0
121,1,1,1,3,1,5,2,1,0,0,1,1,1,0
122,1,1,1,3,1,5,2,1,0,0,1,0,1,0
123,1,1,1,2,1,3,2,0,0,0,1,1,2,0
124,1,1,1,0,1,5,2,1,0,0,0,0,1,0
125,1,1,1,2,1,5,1,1,0,0,1,0,1,0
126,1,1,1,2,1,5,2,1,0,0,0,1,1,0
127,1,1,1,3,1,5,1,0,0,0,1,1,1,0
128,1,1,1,3,1,3,2,1,0,0,0,1,1,0
129,1,1,1,3,1,2,2,1,0,0,0,1,1,0
130,1,1,1,3,1,3,2,1,0,0,1,0,1,0
131,1,1,1,2,1,2,4,0,0,0,0,0,2,0
132,1,1,1,0,1,5,2,1,0,0,1,1,1,0
133,1,1,1,1,1,5,2,0,0,0,1,0,1,0
134,1,1,1,0,1,3,3,1,0,0,0,0,1,0
135,1,1,1,3,1,3,3,0,0,0,1,0,1,0
136,1,1,1,2,1,3,2,0,0,0,1,1,1,0
137,1,1,1,3,1,5,3,1,0,0,0,1,1,0
138,1,1,1,2,1,3,2,1,0,0,1,1,1,0
139,1,1,1,2,1,5,2,0,0,0,1,0,1,0
140,1,1,1,2,1,5,4,0,0,0,0,0,1,0
141,1,1,1,3,1,5,1,0,0,0,1,0,1,0
142,1,1,1,2,1,5,2,1,0,0,1,1,2,0
143,1,1,1,0,1,2,2,1,0,0,1,0,1,0
144,1,1,1,0,1,5,2,1,0,0,0,1,1,0
145,1,1,1,1,1,5,5,0,0,0,0,1,1,0
146,1,1,1,2,1,3,1,1,0,0,1,0,1,0
147,1,1,1,3,1,3,2,0,0,0,1,0,1,0
148,1,1,1,2,1,3,1,0,0,0,1,1,1,0
149,1,1,1,3,1,5,3,0,0,0,1,0,2,0
150,1,1,1,2,1,5,2,1,0,0,1,0,1,0
151,1,1,1,2,0,3,3,0,0,0,1,1,3,0
152,1,1,1,3,1,3,1,1,0,0,0,1,1,0
153,1,1,1,0,1,5,3,0,0,1,1,1,1,0
154,1,1,1,3,1,2,3,1,0,1,0,1,2,0
155,1,1,1,3,1,5,4,0,0,0,1,0,1,0
156,1,1,1,2,1,3,2,0,0,0,1,1,2,0
157,1,1,1,3,1,5,1,1,0,1,1,0,3,0
158,1,1,1,3,1,5,3,1,0,1,0,1,1,0
159,1,1,1,2,1,3,2,1,0,1,1,1,1,0
160,1,1,1,0,1,5,2,1,0,1,0,1,1,0
161,1,1,1,1,1,5,3,1,0,1,1,0,1,0
162,1,1,1,3,1,1,2,1,0,1,1,0,1,0
163,1,1,1,2,1,2,2,1,0,1,0,1,1,0
164,1,1,0,3,1,5,2,0,0,0,1,0,1,0
165,1,1,0,1,1,5,3,0,0,0,0,0,2,0
166,1,1,1,1,1,2,3,0,0,0,1,0,1,0
167,1,1,1,0,1,2,2,0,0,0,0,1,1,0
168,1,1,1,3,1,5,2,1,0,0,0,1,1,0
169,1,1,1,2,1,3,3,0,0,0,0,1,2,0
170,1,1,1,3,1,5,3,0,0,0,0,1,1,0
171,1,1,1,3,1,5,4,0,0,0,0,1,2,0
172,1,1,1,3,1,3,2,0,0,0,0,1,1,0
173,1,1,1,3,1,2,3,0,0,0,0,1,1,0
174,1,1,1,2,1,5,3,0,0,0,0,1,1,0
175,1,1,1,2,1,2,4,0,0,0,0,0,3,0
176,1,1,1,3,1,2,2,0,0,0,1,1,1,0
177,1,1,1,2,1,2,3,0,0,0,1,1,3,0
178,1,1,1,2,1,2,3,0,0,0,0,0,5,0
179,1,1,1,3,1,1,2,0,0,0,0,1,3,0
180,1,1,1,3,1,5,3,0,0,0,0,1,3,0
181,1,1,1,0,1,5,2,0,0,0,0,1,2,0
182,1,1,1,3,1,3,1,0,0,0,0,1,2,0
183,1,1,1,3,1,5,3,0,0,0,0,1,2,0
184,1,1,1,3,1,3,2,0,0,0,0,1,1,0
185,1,1,1,0,1,5,3,0,0,0,0,0,1,0
186,1,1,1,3,1,5,3,0,0,0,0,1,1,0
187,1,1,1,2,1,5,4,0,0,0,0,1,2,0
188,1,1,1,3,1,5,4,0,0,0,0,0,4,0
189,1,1,1,1,1,5,1,0,0,0,0,1,1,0
190,1,1,1,3,1,5,3,0,0,0,0,1,3,0
191,1,1,1,2,1,2,4,0,0,0,0,0,1,0
192,1,1,1,3,1,5,2,0,0,0,0,1,1,0
193,1,1,1,3,1,5,3,0,0,0,0,0,1,0
194,1,1,1,2,1,5,3,0,0,0,0,1,3,0
195,1,1,1,1,1,4,3,0,0,0,0,1,3,0
196,1,1,1,2,1,3,3,0,0,0,0,1,2,0
197,1,1,1,2,1,4,5,0,0,0,0,1,1,0
198,1,1,1,3,1,2,3,0,0,0,0,1,3,0
199,1,1,1,2,1,1,2,0,0,0,0,1,2,0
200,1,1,1,2,1,3,5,0,0,0,0,1,3,0
201,1,1,1,0,1,4,5,0,0,0,0,1,1,0
202,1,1,1,2,0,3,4,0,0,0,0,1,1,0
203,1,1,1,2,1,2,2,0,0,0,0,1,1,0
204,1,1,1,1,0,4,3,0,0,0,0,1,2,0
205,1,1,1,3,1,2,3,0,0,0,0,1,2,0
206,1,1,1,2,1,3,3,0,0,0,0,1,3,0
207,1,1,1,3,1,3,3,0,0,0,0,1,3,0
208,1,1,1,2,1,3,3,0,0,0,0,1,3,0
209,1,1,1,3,1,5,3,0,0,0,0,1,4,0
210,1,1,1,2,1,4,1,0,0,0,0,1,3,0
211,1,1,1,2,1,3,4,0,0,0,0,1,1,0
212,1,1,1,0,1,2,2,0,0,0,0,1,2,0
213,1,1,1,3,1,5,2,0,0,0,0,1,2,0
214,1,1,1,2,1,4,3,0,0,0,0,1,1,0
215,1,1,1,2,1,5,3,0,0,0,0,1,3,0
216,1,1,1,2,1,3,2,0,0,0,0,1,1,0
217,1,1,1,3,1,4,3,0,0,0,0,1,1,0
218,1,1,1,2,1,5,3,0,0,0,0,1,3,0
219,1,1,1,3,1,4,3,0,0,0,0,1,3,0
220,1,1,1,3,1,4,4,0,0,0,0,1,5,0
221,1,1,1,1,1,4,1,0,0,0,0,1,2,0
